Database Name,URL,Egypt Relevance,Real Data Status,Content Description,Current Status
ARIADNE+ European Archaeological Infrastructure,https://ariadne-infrastructure.eu/,MEDIUM,YES,2+ million archaeological records from 27 countries,ACTIVE
Digital Egypt for Universities (UCL),https://www.ucl.ac.uk/museums-static/digitalegypt/,VERY HIGH,YES,"3000+ pages of Egyptian archaeological data, 3D reconstructions",ACTIVE
Institute for Study of Ancient Cultures Database,https://isac.uchicago.edu/,VERY HIGH,YES,"30,000 Egyptian artifacts, 21,000+ photographs",ACTIVE
Bibliography of Egyptological Databases,https://www.zotero.org/groups/4851156/,VERY HIGH,YES,400+ Egyptological databases and datasets catalog,ACTIVE
Digital Egyptology Resource Hub,https://digitalegyptology.org/data/databases/,VERY HIGH,YES,"50+ Egyptian databases covering tombs, objects, architecture",ACTIVE
Trismegistos Interdisciplinary Platform,https://www.trismegistos.org/,HIGH,YES,"800,000+ ancient texts, major Ptolemaic Egypt focus",ACTIVE
UCL Petrie Museum Specialist Databases,https://library-guides.ucl.ac.uk/egyptology/specialistdatabases,VERY HIGH,YES,"80,000 Egyptian objects with 90,000+ images",ACTIVE
Digital Giza Project (Harvard University),https://arce.org/project/giza-project-harvard-university/,VERY HIGH,YES,"Complete 3D documentation of Giza Plateau, 116,639 learners",ACTIVE
Multi-Sensor Satellite Images Giza Archaeological Study,https://www.mdpi.com/2073-445X/13/4/471,VERY HIGH,YES,Land-use changes Giza Necropolis 1965-2019 analysis,PUBLISHED 2024
GIS Photogrammetric Seabed Archaeological Research,https://isprs-archives.copernicus.org/articles/XLIII-B2-2022/953/2022/,HIGH,YES,Marsa Bagoush underwater archaeological site documentation,ACTIVE RESEARCH
